N	Domain	Organism	Pathogenicity	Respiration	Environment	Mycotoxin	Removal mechanism	Enzymatic?	Location	Characterization context	Characterization assay	Source	Link	Additional information	Contributor	Contribution date	Curator(s)	Curation date	Curation notes
1	Bacteria	Acinetobacter calcoaceticus	Opportunistic	Aerobic	Human;Soil	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Hwang CA, Draughon FA. Degradation of Ochratoxin A by Acinetobacter calcoaceticus. J Food Prot. 1994 May;57(5):410-414. doi: 10.4315/0362-028X-57.5.410. PMID: 31121738.	https://doi.org/10.4315/0362-028x-57.5.410	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
2	Bacteria	Alcaligenes faecalis	Non-Pathogenic	Aerobic	Human;Soil;Water	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Zhang HH, Wang Y, Zhao C, Wang J, Zhang XL. Biodegradation of ochratoxin A by Alcaligenes faecalis isolated from soil. J Appl Microbiol. 2017 Sep;123(3):661-668. doi: 10.1111/jam.13537. PMID: 28708280.	https://doi.org/10.1111/jam.13537	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
3	Bacteria	Alcaligenes faecalis	Non-Pathogenic	Aerobic	Human;Soil;Water	Zearalenone	Biotransformation	Yes	Unknown	NULL	NULL	Zhang HH, Wang Y, Zhao C, Wang J, Zhang XL. Biodegradation of ochratoxin A by Alcaligenes faecalis isolated from soil. J Appl Microbiol. 2017 Sep;123(3):661-668. doi: 10.1111/jam.13537. PMID: 28708280.	https://doi.org/10.1111/jam.13537	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
4	Bacteria	Bacillus amyloliquefaciens	Non-Pathogenic	Facultative	Soil	Ochratoxin	Biotransformation	Yes	Unknown	NULL	NULL	Chang X, Wu Z, Wu S, Dai Y, Sun C. Degradation of ochratoxin A by Bacillus amyloliquefaciens ASAG1. Food Addit Contam Part A Chem Anal Control Expo Risk Assess. 2015;32(4):564-71. doi: 10.1080/19440049.2014.991948. Epub 2014 Dec 17. PMID: 25517039.	https://doi.org/10.1080/19440049.2014.991948	NULL	Rachel Goldsborough	NULL	Natalie Sandlin	NULL	NULL
5	Bacteria	Flavobacterium aurantiacum	Opportunistic	Aerobic	Soil;Water	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	chromatography (HPLC)	Smiley RD, Draughon FA. Preliminary evidence that degradation of aflatoxin B1 by Flavobacterium aurantiacum is enzymatic. J Food Prot. 2000 Mar;63(3):415-8. doi: 10.4315/0362-028x-63.3.415. PMID: 10716576.	https://doi.org/10.4315/0362-028X-63.3.415	NULL	Anna Akkara	2021-02-16	Judi Le	2021-03-08	Heat treatment of protein extract does not prove that degradation is due to an enzyme because other cellular components also heat labile; enzyme likely but not identified
6	Bacteria	Rhodococcus pyridinivorans	Non-Pathogenic	Aerobic	Water	Zearalenone	Biotransformation	Yes	Unknown	NULL	NULL	Kriszt R, Krifaton C, Szoboszlay S, Cserháti M, Kriszt B, Kukolya J, Czéh A, Fehér-Tóth S, Török L, Szőke Z, Kovács KJ, Barna T, Ferenczi S. A new zearalenone biodegradation strategy using non-pathogenic Rhodococcus pyridinivorans K408 strain. PLoS One. 2012;7(9):e43608. doi: 10.1371/journal.pone.0043608. Epub 2012 Sep 25. PMID: 23049739; PMCID: PMC3458049.	https://doi.org/10.1371/journal.pone.0043608	NULL	Judi Le	2021-02-16	Anna Akkara	2021-03-08	Characterization assay was through HPLC analysis. Bacterial enzymes showed 87% ZEA degradation efficiency
7	Bacteria	Myobacterium smegmatis	Non-Pathogenic	Aerobic	Plants;Soil;Water	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	TLC	Taylor MC, Jackson CJ, Tattersall DB, French N, Peat TS, Newman J, Briggs LJ, Lapalikar GV, Campbell PM, Scott C, Russell RJ, Oakeshott JG. Identification and characterization of two families of F420 H2-dependent reductases from Mycobacteria that catalyse aflatoxin degradation. Mol Microbiol. 2010 Nov;78(3):561-75. doi: 10.1111/j.1365-2958.2010.07356.x. Epub 2010 Sep 16. PMID: 20807200; PMCID: PMC3034190.	https://doi.org/10.1111/j.1365-2958.2010.07356.x	NULL	Anna Akkara	2021-02-16	Judi Le	2021-03-08	Nine enzymes were identified in the study; enzymes belong to F420H2 dependent reductase (FDR‐A and ‐B) families (enzymes that depend on F420H2 as a cofactor)
8	Eukarya	Saccharomyces sensu stricto	Non-Pathogenic	Facultative	Human;Soil	Ochratoxin A	Absorption	No	Intracellular	live culture	HPLC	Andrea Caridia, Fabio Galvanob, Alessio Tafurib, Alberto Ritienib	https://doi.org/10.1016/j.enzmictec.2006.07.002	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	Saccharomyces sensu stricto are a series of different yeast strains, not just one specfic species. These different strains could have different natural environments.
9	Bacteria	Lactobacillus rhamnosus	Non-Pathogenic	Facultative	Human	Aflatoxin B1	Absorption	No	Unknown	live culture, in vivo	liquid chromotagraphy	HANI EL-NEZAMI ; HANNU MYKKÄNEN ; PASI KANKAANPÄÄ ; SEPPO SALMINEN ; JORMA AHOKAS	https://doi.org/10.4315/0362-028X-63.4.549	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	The study was performed both in vivo and in vitro
10	Eukarya	Aspergillus species	Opportunistic	Aerobic	Plants;Soil	Ochratoxin A	Biotransformation	Yes	Extracellular	live culture	HPLC	Luís Abrunhosa, Rita Serra, and Armando Venâncio	https://doi.org/10.1021/jf025747i	NULL	Stephanie Li	2021-02-16	Theresa Fallon	2021-03-09	Specific Aspergillus species focused on are A. clavatus, A. ochraceus, A. versicolor, and A. wentii. Found in widespread environments, not just soil.
11	Bacteria	Stenotrophomonas maltophilia	Opportunistic	Aerobic	Animal;Food;Human;Plants;Soil;Water	Aflatoxin B1	Unknown	Yes	Intracellular	live culture	HPLC	Guan S, Ji C, Zhou T, Li J, Ma Q, Niu T. Aflatoxin B(1) degradation by Stenotrophomonas maltophilia and other microbes selected using coumarin medium. Int J Mol Sci. 2008 Aug;9(8):1489-503. doi: 10.3390/ijms9081489. Epub 2008 Aug 22. PMID: 19325817; PMCID: PMC2635738.	https://pubmed.ncbi.nlm.nih.gov/19325817/	first report that a bacterium in this genus has function in mycotoxin degradation	Theresa Fallon	2021-02-16	Stephanie Li	2021-03-08	Does degradation count as a form of biotransformation -- breakdown + transform target into unfunctionable state
12	Bacteria	Propionibacterium freudenreichii	Non-Pathogenic	Anaerobic	Human;Plants;Soil	Zearalenone	Adsorption	No	Unknown	live culture	HPLC	Gwiazdowska D, Czaczyk K, Filipiak M, Gwiazdowski R. Effects of Propionibacterium on the growth and mycotoxin production by some species of Fusarium and Alternaria. Pol J Microbiol. 2008;57(3):205-12. PMID: 19004241.	https://pubmed.ncbi.nlm.nih.gov/19004241/	NULL	Judi Le	2021-02-16	Anna Akkara	2021-03-08	Three experimental preparations of viable bacteria, cell free supernatant and bacterionin prep were analyzed in their ability to remove or decrease levels of mycotoxin. The strongest inhibition of growth and toxin production was observed in the presence of cultures containing viable cells and supernatants obtained from propionibacteria cultures.
13	Bacteria	Bacillus subtilis	Non-Pathogenic	Aerobic	Animal;Human;Plants;Soil	Aflatoxin B1	Biotransformation	Yes	Unknown	live culture	HPLC	Farzaneh M, Shi ZQ, Ahmadzadeh M, Hu LB, Ghassempour A. Inhibition of the Aspergillus flavus Growth and Aflatoxin B1 Contamination on Pistachio Nut by Fengycin and Surfactin-Producing Bacillus subtilis UTBSP1. Plant Pathol J. 2016 Jun;32(3):209-15. doi: 10.5423/PPJ.OA.11.2015.0250. Epub 2016 Jun 1. PMID: 27298596; PMCID: PMC4892817.	https://doi.org/10.1016/j.foodcont.2011.06.018	NULL	Judi Le	2021-02-16	Anna Akkara	2021-03-09	The enzyme responsible for the B subtilis strain UTBSP1-caused decrease in Aflotoxin mycotoxin is an extracellular constituively produced enzyme. When preparations UTBSP1 were analyzed in nutrient broth culture, in the pistachio nut and cel-free supernatant, it was found that cell-free supernatant had an efficacy rate of 78.39% decrease in AFB1 content while the other two preparations had 86% and 95% decreases.
14	Eukarya	Phanerochaete sordida	Non-Pathogenic	Aerobic	Plants;Soil	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	HPLC	Wang J, Ogata M, Hirai H, Kawagishi H. Detoxification of aflatoxin B1 by manganese peroxidase from the white-rot fungus Phanerochaete sordida YK-624. FEMS Microbiol Lett. 2011 Jan;314(2):164-9. doi: 10.1111/j.1574-6968.2010.02158.x. Epub 2010 Nov 30. PMID: 21118293.	https://doi.org/10.1111/j.1574-6968.2010.02158.x	NULL	Judi Le	2021-02-17	Anna Akkara	2021-03-09	The actual pathway that the MnP enzyme took to degrade AFB1 (aflatoxin B1) was observed through 1H-NMR and HR-ESI-MS analysis. They found that AFB1 is first oxidized to AFB1-8,9-epoxide by MnP and then hydrolyzed to AFB1-8,9-dihydrodiol which is non-toxic and non-carcinogenic.
15	Bacteria	Pseudomonas putida	Opportunistic	Aerobic	Soil;Water	Zearalenone	Biotransformation	Yes	Unknown	Cell-free extracts, genes cloned/expressed in E.coli	TLC/HPLC	Abdulla D. Altalhi, Bahig El-Deeb, Localization of zearalenone detoxification gene(s) in pZEA-1 plasmid of Pseudomonas putida ZEA-1 and expressed in Escherichia coli, Journal of Hazardous Materials, Volume 161, Issues 2–3, 2009, Pages 1166-1172, ISSN 0304-3894, https://doi.org/10.1016/j.jhazmat.2008.04.068.	https://doi.org/10.1016/j.jhazmat.2008.04.068	Relevant genes in P putida replicated in E coli plasmid	Anna Akkara	2021-02-17	Judi Le	2021-03-08	E. coli DH5α was used as the host for constructing recombinant plasmids containing degrading gene(s); concentration of zearalenone in olutions was determined w/ HPLC
16	Bacteria	Bacillus velezensis	Non-Pathogenic	Aerobic	Soil	Aflatoxin B1	Biotransformation	Yes	Extracellular	Cell-free extracts	HPLC	Shu X, Wang Y, Zhou Q, et al. Biological Degradation of Aflatoxin B₁ by Cell-Free Extracts of Bacillus velezensis DY3108 with Broad PH Stability and Excellent Thermostability. Toxins (Basel). 2018;10(8):330. Published 2018 Aug 14. doi:10.3390/toxins10080330	https://doi.org/10.3390/toxins10080330	NULL	Samuel Shikora	2021-02-17	Micah Dial	2021-03-09	enzymes couldn’t be identified but possess a broad reaction temperature range, pH tolerance, and excellent thermostability which makes them potentially useful for degrading AF from the human diet and animal feed
17	Eukarya	Pichia occidentalis	Non-Pathogenic	Anaerobic	Soil;Water	Aflatoxin B1	Adsorption	Yes	Unknown	live culture	MTT	Ben Teheur, Fadia et al. Aflatoxin B 1 degradation by microorganisms isolated from Kombucha culture	https://doi.org/10.1016/j.toxicon.2020.03.004	P. occidentalis KOP7 is most effective, toxicity eval. (MTT) on Hep2 cell and brine shrimp	Jack Dennehy	2021-02-17	Rebecca Klausner	2021-03-08	mechanistically this paper lookad both biotransformation and adsorption and saw results for both.
18	Bacteria	Bacillus subtilis	Non-Pathogenic	Aerobic	Animal;Human;Plants;Soil	Zearalenone	Biotransformation	No	Unknown	NULL	ELISA/ HPLC	Cho, K.J., Kang, J.S., Cho, W.T. et al. In vitro degradation of zearalenone by Bacillus subtilis . Biotechnol Lett 32, 1921–1924 (2010)	https://doi.org/10.1007/s10529-010-0373-y	NULL	Micah Dial	2021-02-18	Samuel Shikora	2021-03-02	Degradation appears to be intracellular with unknown enzyme; charaacterization context is live culture
19	Bacteria	Nocardia corynebacteroides	Non-Pathogenic	Aerobic	Soil;Water	Aflatoxin B1	Biotransformation	No	Unknown	NULL	HPLC	Tejada-Castañeda, Z. I., et al. ""Biodetoxification of aflatoxin-contaminated chick feed."" Poultry science 87.8 (2008): 1569-1576.	https://doi.org/10.3382/ps.2007-00304	NULL	Micah Dial	2021-02-18	Samuel Shikora	2021-03-02	Whether the process is enzymatic is unknown at this time; CC was live culture
20	Bacteria	Lactobacillus plantarum	Non-Pathogenic	Facultative	Human;Plants;Soil	Aflatoxin B1	Biotransformation	No	Unknown	NULL	HPLC	Kachouri F, Ksontini H, Hamdi M. Removal of aflatoxin B1 and inhibition of Aspergillus flavus growth by the use of Lactobacillus plantarum on olives. J Food Prot. 2014 Oct;77(10):1760-7.	https://doi.org/10.4315/0362-028X.JFP-13-360	NULL	Micah Dial	2021-02-19	Samuel Shikora	2021-03-02	Removal mechanism seems to be inhibition of molds that produce B1
21	Bacteria	Alicyclobacillus acidoterrestris	Non-Pathogenic	Aerobic	Soil;Water	Patulin	Biotransformation	No	Unknown	NULL	HPLC	Yuan Y, Wang X, Hatab S, Wang Z, Wang Y, Luo Y, Yue T. Patulin reduction in apple juice by inactivated Alicyclobacillus spp. Lett Appl Microbiol. 2014 Dec;59(6):604-9.	https://doi.org/10.1111/lam.12315	NULL	Micah Dial	2021-02-20	Samuel Shikora	2021-03-02	Check DOI link; appears to be for a different paper than the entry
22	Eukarya	Debaryomyces hansenii	Opportunistic	Aerobic	Food;Human	Ochratoxin A	Regulation	No	Extracellular	Live culture	RT-PCR	Gil-Serna J, Patiño B, Cortés L, González-Jaén MT, Vázquez C. Mechanisms involved in reduction of ochratoxin A produced by Aspergillus westerdijkiae using Debaryomyces hansenii CYC 1244. Int J Food Microbiol. 2011 Nov 15;151(1):113-8. doi: 10.1016/j.ijfoodmicro.2011.08.012. Epub 2011 Aug 22. PMID: 21899908.	https://doi.org/10.1016/j.ijfoodmicro.2011.08.012	NULL	Samuel Shikora	2021-02-20	Micah Dial	2021-03-09	The paper highlights that expression of OTA biosynthetic genes in A. westerdijkiae is evaluated by a new RT-PCR assay. And OTA removal by D. hansenii is mainly due to adsorption to its cell wall.
23	Eukarya	Trichosporon mycotoxinivorans	Non-Pathogenic	Aerobic	Animal	Zearalenone 	Biotransformation	Unknown	Unknown	Live culture	HPLC-FLD	Molnar O, Schatzmayr G, Fuchs E, Prillinger H. Trichosporon mycotoxinivorans sp. nov., a new yeast species useful in biological detoxification of various mycotoxins. Syst Appl Microbiol. 2004 Nov;27(6):661-71. doi: 10.1078/0723202042369947. PMID: 15612623.	https://doi.org/10.1078/0723202042369947	NULL	Samuel Shikora	2021-02-20	Micah Dial	2021-03-09	T. debeurmannianum and T. dermatis were isolated from human bronchial secretions and infected skin lesions- it is unknown if they are pathogenic to humans.
24	Eukarya	Trichosporon mycotoxinivorans	Non-Pathogenic	Aerobic	Animal	Ochratoxin A	Biotransformation	Unknown	Unknown	Live culture	HPLC-FLD	Molnar O, Schatzmayr G, Fuchs E, Prillinger H. Trichosporon mycotoxinivorans sp. nov., a new yeast species useful in biological detoxification of various mycotoxins. Syst Appl Microbiol. 2004 Nov;27(6):661-71. doi: 10.1078/0723202042369947. PMID: 15612623.	https://doi.org/10.1078/0723202042369947	NULL	Samuel Shikora	2021-02-20	Micah Dial	2021-03-09	T. debeurmannianum and T. dermatis were isolated from human bronchial secretions and infected skin lesions- it is unknown if they are pathogenic to humans.
25	Eukarya	Rhodosporidium paludigenum	Non-Pathogenic	Aerobic	Water	Patulin	Biotransformation	Yes	Intracellular	Live culture	UPLC-MS	Zhu R, Feussner K, Wu T, Yan F, Karlovsky P, Zheng X. Detoxification of mycotoxin patulin by the yeast Rhodosporidium paludigenum. Food Chem. 2015 Jul 15;179:1-5. doi: 10.1016/j.foodchem.2015.01.066. Epub 2015 Jan 19. PMID: 25722132.	https://doi.org/10.1016/j.foodchem.2015.01.066	NULL	Samuel Shikora	2021-02-20	Micah Dial	2021-03-09	Enzyme identified as R. paludigenum that degrades Patulin, is inducible by Patulin
26	Bacteria	Bacillus licheniformis	Pathogenic	Facultative	Animal;Soil	Zearalenone	Adsorption	No	Extracellular	live culture	HPLC	Hsu TC, Yi PJ, Lee TY, Liu JR. Probiotic characteristics and zearalenone-removal ability of a Bacillus licheniformis strain. PLoS One. 2018 Apr 11;13(4):e0194866. doi: 10.1371/journal.pone.0194866. PMID: 29641608; PMCID: PMC5895015.	https://pubmed.ncbi.nlm.nih.gov/29641608/	NULL	Theresa Fallon	2021-02-20	Stephanie Li	2021-03-08	Seems like in past studies it was identified that the CK1 strain had high levels of extracellular activity, although not  focused in this paper I think this can be proof of extracellular mechanism
27	Bacteria	Bacillus amyloliquefaciens	Non-Pathogenic	Facultative	Soil	Zearalenone	Adsorption	No	Intracellular	live culture	ELISA, HPLC	Lee A, Cheng KC, Liu JR. Isolation and characterization of a Bacillus amyloliquefaciens strain with zearalenone removal ability and its probiotic potential. PLoS One. 2017 Aug 1;12(8):e0182220. doi: 10.1371/journal.pone.0182220. PMID: 28763483; PMCID: PMC5538671.	https://pubmed.ncbi.nlm.nih.gov/28763483/	NULL	Theresa Fallon	2021-02-20	Stephanie Li	2021-03-08	This bacteria has been identified as aerobic but other studies have shown how it can survive in anaerobic environments so i think it is more accurate to say facultative anaerobe / I think they also used HPLC to look at ZEN concentration / In addition to absorption, the study also showed degradation of ZEN as a mechanism
28	Bacteria	Lactobacillus plantarum	Non-Pathogenic	Facultative	Human;Plants;Soil	Patulin	Adsorption	No	Extracellular	live culture	HPLC-UV	Zoghi A, Khosravi-Darani K, Sohrabvandi S, Attar H. Patulin removal from synbiotic apple juice using Lactobacillus plantarum ATCC 8014. J Appl Microbiol. 2019 Apr;126(4):1149-1160. doi: 10.1111/jam.14172. Epub 2019 Feb 18. PMID: 30520191.	https://pubmed.ncbi.nlm.nih.gov/30520191/	NULL	Theresa Fallon	2021-02-20	Stephanie Li	2021-03-08	should be facultative anaerobe / bacteria is often found in plants (food)
29	Bacteria	Bacillus velezensis	Non-Pathogenic	Aerobic	Soil	Zearalenone	Biotransformation	No	Unknown	live culture	HPLC	Wang, N., Li, P., Wang, M., Chen, S., Huang, S., Long, M., Yang, S., & He, J. (2018). The Protective Role of Bacillus velezensis A2 on the Biochemical and Hepatic Toxicity of Zearalenone in Mice. Toxins, 10(11), 449. https://doi.org/10.3390/toxins10110449	https://doi.org/10.3390/toxins10110449	A2 strain shows 100% success in degradation - mechanism not specified	Rebecca Klausner	2021-02-21	Jack Dennehy	2021-03-02	Safety eval. confirms potential benefit of the A2 strain but mechanism of detox. is not clear
30	Bacteria	Pseudomonas putida	Opportunistic	Aerobic	Soil;Water	Aflatoxin B1	Biotransformation	Yes	Unknown	live culture, in vivo	TLC/HPLC/ELISA	Melvin S. Samuel, Akella Sivaramakrishna, Alka Mehta, Degradation and detoxification of aflatoxin B1 by Pseudomonas putida, International Biodeterioration & Biodegradation, Volume 86, Part C,2014,Pages 202-209, ISSN 0964-8305,	https://doi.org/10.1016/j.ibiod.2013.08.026	NULL	Stephanie Li	2021-02-22	Theresa Fallon	2021-03-09	Cytotoxicity test for AFB1 was performed using ELISA assay as well. Also some enzymes aided in degradation.
31	Eukarya	Saccharomyces cerevisiae	Opportunistic	Facultative	Animal;Food;Human;Plants;Soil	Ochratoxin A	Biotransformation	No	Unknown	live culture (in vitro - mimic GIT conditions)	ELISA	Petruzzi L, Corbo MR, Sinigaglia M, Bevilacqua A. Ochratoxin A Removal by Yeasts after Exposure to Simulated Human Gastrointestinal Conditions. J Food Sci. 2016 Nov;81(11):M2756-M2760. doi: 10.1111/1750-3841.13518. Epub 2016 Oct 12. PMID: 27732755.	https://doi.org/10.1111/1750-3841.13518	there are known degradation methods that produce byproducts that are better at removing the toxin, yeast does not produce byproducts but tranist/OTA-binding mech is unclear	Rebecca Klausner	2021-02-22	Jack Dennehy	2021-03-02	Not known how toxin supplements during OTA-binding/transit
32	Bacteria	Lactobacillus casei	Non-Pathogenic	Facultative	Food;Human	Patulin	Biotransformation	Yes	Extracellular	live culture	HPLC	Xiangfeng Zheng, Wanning Wei, Shengqi Rao, Lu Gao, Huaxiang Li and Zhenquan Yang. Degradation of Patulin in Fruit Juice by a Lactic Acid Bacteria Strain Lactobacillus Casei YZU01. Food Control, vol. 112, 2020, pp. 107147, https://www.sciencedirect.com/science/article/pii/S0956713520300633, doi:https://doi.org/10.1016/j.foodcont.2020.107147.	https://doi.org/10.1016/j.foodcont.2020.107147	removed up to 95% within 48 hours. Although degredation by enzymes is the main mechanism for mycotoxin removal, the cell wall also absorbs the patulin	Cecilia Chase	2021-02-22	Justin Lambright	2021-03-09	L.casei YZU01 LAB strain used. Only extracellular enzymes degraded patulin. Cell wall of L. casei YZU01 can absorb patulin as another removal method
33	Eukarya	Trametes versicolor	Non-Pathogenic	Aerobic	Plants	Aflatoxin B1	Biotransformation	Yes	Extracellular	live culture	HPLC-DAD	Scarpari M, Bello C, Pietricola C, Zaccaria M, Bertocchi L, Angelucci A, Ricciardi MR, Scala V, Parroni A, Fabbri AA, Reverberi M, Zjalic S, Fanelli C. Aflatoxin control in maize by Trametes versicolor. Toxins (Basel). 2014 Dec 17;6(12):3426-37.	https://doi.org/10.3390/toxins6123426	30kg maize 30% degredation within 7 days-shows large scale application possible	Justin Lambright	2021-02-22	Cecilia Chase	2021-03-08	T. versicolor also inhibits the production of Aflotoxin B1 which could be utilized to prevent the mycotoxin in the first place
34	Eukarya	Candida guilliermondii	Opportunistic	Aerobic	Plants	Patulin	Biotransformation	No	Intracellular	live cultute	HPLC	Chen, Y., Peng, H. M., Wang, X., Li, B. Q., Long, M. Y., & Tian, S. P. (2017). Biodegradation Mechanisms of Patulin in Candida guilliermondii: An iTRAQ-Based Proteomic Analysis. Toxins, 9(2), 48. https://doi.org/10.3390/toxins9020048	https://doi.org/10.3390/toxins9020048	E-ascladiol was main degradation product of patulin	Rebecca Klausner	2021-02-22	Jack Dennehy	2021-03-02	E-ascladiol was main degradation product of patulin
